Date	Action	Direction	Protocol	Application/Service	Local IP address	Local hostname	Local port	Remote IP address	Remote hostname	Remote port	ICMP info	Kind
Dec 18, 2016, 6:25:35 PM	DENIED	Incoming	TCP	Port 7657	121.238.69.101	121.238.69.101	7657	222.240.52.228	222.240.52.228	11638		User-defined setting
Dec 18, 2016, 6:25:34 PM	DENIED	Incoming	TCP	Port 7657	121.238.69.101	121.238.69.101	7657	222.240.52.228	222.240.52.228	11638		User-defined setting
Dec 18, 2016, 6:25:34 PM	DENIED	Incoming	TCP	Port 7657	121.238.69.101	121.238.69.101	7657	222.240.52.228	222.240.52.228	11638		User-defined setting
Dec 18, 2016, 6:25:32 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	113.222.216.30	113.222.216.30	29696		User-defined setting
Dec 18, 2016, 6:25:31 PM	DENIED	Incoming	UDP	Port 12345	121.238.69.101	121.238.69.101	12345	218.88.12.153	218.88.12.153	12345		User-defined setting
Dec 18, 2016, 6:25:29 PM	DENIED	Incoming	TCP	Port 135	121.238.69.101	121.238.69.101	135	45.34.157.142	45.34.157.142	4445		User-defined setting
Dec 18, 2016, 6:25:27 PM	DENIED	Incoming	UDP	Port 12345	121.238.69.101	121.238.69.101	12345	218.88.12.153	218.88.12.153	12345		User-defined setting
Dec 18, 2016, 6:25:26 PM	DENIED	Incoming	TCP	Port 12612	121.238.69.101	121.238.69.101	12612	120.236.146.231	120.236.146.231	21135		User-defined setting
Dec 18, 2016, 6:25:25 PM	DENIED	Incoming	TCP	Port 12612	121.238.69.101	121.238.69.101	12612	120.236.146.231	120.236.146.231	20683		User-defined setting
Dec 18, 2016, 6:25:25 PM	DENIED	Incoming	TCP	Port 12612	121.238.69.101	121.238.69.101	12612	120.236.146.231	120.236.146.231	20313		User-defined setting
Dec 18, 2016, 6:25:23 PM	DENIED	Incoming	UDP	Port 12345	121.238.69.101	121.238.69.101	12345	218.88.12.153	218.88.12.153	12345		User-defined setting
Dec 18, 2016, 6:25:23 PM	DENIED	Incoming	TCP	Port 7657	121.238.69.101	121.238.69.101	7657	221.9.79.24	221.9.79.24	27341		User-defined setting
Dec 18, 2016, 6:25:21 PM	DENIED	Incoming	TCP	Port 7657	121.238.69.101	121.238.69.101	7657	119.48.176.209	119.48.176.209	46879		User-defined setting
Dec 18, 2016, 6:25:19 PM	DENIED	Incoming	UDP	Port 12345	121.238.69.101	121.238.69.101	12345	218.88.12.153	218.88.12.153	12345		User-defined setting
Dec 18, 2016, 6:25:18 PM	DENIED	Incoming	TCP	Port 7547	121.238.69.101	121.238.69.101	7547	124.149.188.201	124.149.188.201	28487		User-defined setting
Dec 18, 2016, 6:25:15 PM	DENIED	Incoming	UDP	Port 12345	121.238.69.101	121.238.69.101	12345	218.88.12.153	218.88.12.153	12345		User-defined setting
Dec 18, 2016, 6:25:11 PM	DENIED	Incoming	UDP	Port 12345	121.238.69.101	121.238.69.101	12345	218.88.12.153	218.88.12.153	12345		User-defined setting
Dec 18, 2016, 6:25:07 PM	DENIED	Incoming	UDP	Port 12345	121.238.69.101	121.238.69.101	12345	218.88.12.153	218.88.12.153	12345		User-defined setting
Dec 18, 2016, 6:25:05 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	60.222.150.159	60.222.150.159	38070		User-defined setting
Dec 18, 2016, 6:25:05 PM	DENIED	Incoming	TCP	Port 7657	121.238.69.101	121.238.69.101	7657	111.26.180.180	111.26.180.180	18441		User-defined setting
Dec 18, 2016, 6:25:02 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	36.57.169.37	36.57.169.37	38934		User-defined setting
Dec 18, 2016, 6:25:00 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	60.222.150.159	60.222.150.159	38070		User-defined setting
Dec 18, 2016, 6:24:59 PM	DENIED	Incoming	TCP	Port 7657	121.238.69.101	121.238.69.101	7657	111.26.180.180	111.26.180.180	18441		User-defined setting
Dec 18, 2016, 6:24:59 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	36.48.108.181	36.48.108.181	13269		User-defined setting
Dec 18, 2016, 6:24:58 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	121.30.69.196	121.30.69.196	20499		User-defined setting
Dec 18, 2016, 6:24:55 PM	DENIED	Incoming	TCP	Port 7657	121.238.69.101	121.238.69.101	7657	120.236.146.231	120.236.146.231	5101		User-defined setting
Dec 18, 2016, 6:24:54 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	118.123.74.57	118.123.74.57	1140		User-defined setting
Dec 18, 2016, 6:24:54 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	36.48.108.181	36.48.108.181	13269		User-defined setting
Dec 18, 2016, 6:24:54 PM	DENIED	Incoming	TCP	Port 7657	121.238.69.101	121.238.69.101	7657	120.236.146.231	120.236.146.231	4709		User-defined setting
Dec 18, 2016, 6:24:54 PM	DENIED	Incoming	TCP	Port 7657	121.238.69.101	121.238.69.101	7657	120.236.146.231	120.236.146.231	4391		User-defined setting
Dec 18, 2016, 6:24:53 PM	DENIED	Incoming	TCP	mySQL	121.238.69.101	121.238.69.101	3306	211.147.118.88	211.147.118.88	6000		User-defined setting
Dec 18, 2016, 6:24:53 PM	DENIED	Incoming	TCP	Port 7657	121.238.69.101	121.238.69.101	7657	111.26.180.180	111.26.180.180	18441		User-defined setting
Dec 18, 2016, 6:24:46 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	123.112.111.127	123.112.111.127	8873		User-defined setting
Dec 18, 2016, 6:24:43 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	106.83.162.61	106.83.162.61	20525		User-defined setting
Dec 18, 2016, 6:24:41 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	115.62.110.101	115.62.110.101	21517		User-defined setting
Dec 18, 2016, 6:24:38 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	106.83.162.61	106.83.162.61	20525		User-defined setting
Dec 18, 2016, 6:24:38 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	113.67.104.177	113.67.104.177	21952		User-defined setting
Dec 18, 2016, 6:24:37 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	1.81.255.4	1.81.255.4	7676		User-defined setting
Dec 18, 2016, 6:24:34 PM	DENIED	Incoming	TCP	Port 7657	121.238.69.101	121.238.69.101	7657	106.6.168.132	106.6.168.132	13613		User-defined setting
Dec 18, 2016, 6:24:33 PM	DENIED	Incoming	UDP	Port 12345	121.238.69.101	121.238.69.101	12345	218.88.12.153	218.88.12.153	12345		User-defined setting
Dec 18, 2016, 6:24:32 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	1.81.255.4	1.81.255.4	7676		User-defined setting
Dec 18, 2016, 6:24:30 PM	DENIED	Incoming	TCP	Port 7657	121.238.69.101	121.238.69.101	7657	59.173.164.233	59.173.164.233	12900		User-defined setting
Dec 18, 2016, 6:24:30 PM	DENIED	Incoming	TCP	Port 7657	121.238.69.101	121.238.69.101	7657	59.173.164.233	59.173.164.233	12900		User-defined setting
Dec 18, 2016, 6:24:29 PM	DENIED	Incoming	TCP	Port 7657	121.238.69.101	121.238.69.101	7657	59.173.164.233	59.173.164.233	12900		User-defined setting
Dec 18, 2016, 6:24:29 PM	DENIED	Incoming	UDP	Port 12345	121.238.69.101	121.238.69.101	12345	218.88.12.153	218.88.12.153	12345		User-defined setting
Dec 18, 2016, 6:24:28 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	59.173.164.233	59.173.164.233	2761		User-defined setting
Dec 18, 2016, 6:24:28 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	183.162.92.95	183.162.92.95	10401		User-defined setting
Dec 18, 2016, 6:24:25 PM	DENIED	Incoming	UDP	Port 12345	121.238.69.101	121.238.69.101	12345	218.88.12.153	218.88.12.153	12345		User-defined setting
Dec 18, 2016, 6:24:24 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	61.164.87.50	61.164.87.50	8083		User-defined setting
Dec 18, 2016, 6:24:23 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	59.173.164.233	59.173.164.233	2761		User-defined setting
Dec 18, 2016, 6:24:23 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	183.162.92.95	183.162.92.95	10401		User-defined setting
Dec 18, 2016, 6:24:21 PM	DENIED	Incoming	UDP	Port 12345	121.238.69.101	121.238.69.101	12345	218.88.12.153	218.88.12.153	12345		User-defined setting
Dec 18, 2016, 6:24:21 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	183.162.92.95	183.162.92.95	10401		User-defined setting
Dec 18, 2016, 6:24:20 PM	DENIED	Incoming	TCP	Remote Login (Telnet)	121.238.69.101	121.238.69.101	23	113.190.16.71	113.190.16.71	20628		User-defined setting
Dec 18, 2016, 6:24:19 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	61.164.87.50	61.164.87.50	8083		User-defined setting
Dec 18, 2016, 6:24:17 PM	DENIED	Incoming	UDP	Port 12345	121.238.69.101	121.238.69.101	12345	218.88.12.153	218.88.12.153	12345		User-defined setting
Dec 18, 2016, 6:24:16 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	183.162.92.95	183.162.92.95	10401		User-defined setting
Dec 18, 2016, 6:24:13 PM	DENIED	Incoming	UDP	Port 12345	121.238.69.101	121.238.69.101	12345	218.88.12.153	218.88.12.153	12345		User-defined setting
Dec 18, 2016, 6:24:12 PM	DENIED	Incoming	TCP	Remote Login (Telnet)	121.238.69.101	121.238.69.101	23	115.74.118.16	115.74.118.16	19479		User-defined setting
Dec 18, 2016, 6:24:09 PM	DENIED	Incoming	UDP	Port 12345	121.238.69.101	121.238.69.101	12345	218.88.12.153	218.88.12.153	12345		User-defined setting
